158 1588
1 5 113
1 6 3990
1 9 4860
1 12 4348
1 14 3041
1 20 6834
1 21 2325
1 30 1080
1 38 6779
1 39 7712
1 49 8259
1 51 502
1 65 2448
1 67 1078
1 83 1709
1 91 8635
1 98 7989
1 99 8322
1 100 4779
1 108 2998
1 114 5460
1 115 8707
1 127 6584
1 134 5112
1 139 6831
1 151 6682
2 6 8017
2 8 7538
2 14 7581
2 21 2538
2 22 1918
2 31 1263
2 46 4788
2 50 4671
2 51 2466
2 65 5644
2 69 126
2 70 4541
2 80 4576
2 91 8898
2 94 8876
2 105 2842
2 107 2176
2 109 7980
2 112 8549
2 117 820
2 120 4279
2 123 1676
2 131 8056
2 146 7682
2 151 8830
2 155 2614
3 13 6988
3 14 2101
3 18 3104
3 21 1618
3 25 1375
3 31 7488
3 34 804
3 46 1411
3 75 6897
3 100 502
3 115 2801
3 117 7134
3 119 4726
3 127 854
3 132 4602
3 136 1285
3 140 763
3 151 6894
3 153 1489
4 5 3808
4 7 3956
4 14 6501
4 18 4779
4 37 818
4 49 3386
4 57 4274
4 60 6685
4 72 1466
4 75 984
4 76 784
4 80 3242
4 87 1749
4 90 3027
4 92 28
4 95 4926
4 96 3715
4 97 5526
4 99 2124
4 105 1419
4 145 597
4 153 3764
5 10 7947
5 11 4312
5 24 2743
5 25 7920
5 26 3462
5 28 7474
5 34 6495
5 37 7136
5 44 6514
5 55 936
5 72 4929
5 77 7462
5 83 6390
5 101 681
5 106 2970
5 113 8573
5 123 6463
5 130 7454
5 140 5089
5 154 6679
6 7 5175
6 32 6063
6 38 2218
6 39 7262
6 54 2714
6 57 3565
6 64 7945
6 74 2397
6 75 722
6 132 3820
6 155 1039
7 9 8062
7 10 6937
7 11 6253
7 28 6137
7 57 5275
7 61 2491
7 67 3685
7 71 4502
7 88 3712
7 91 6589
7 92 6286
7 101 5954
7 110 5280
7 116 3788
7 117 5208
7 119 4864
7 125 6950
7 126 6156
7 139 4431
7 141 3679
7 149 8895
7 154 7891
8 11 3718
8 38 995
8 40 2066
8 45 3801
8 53 2501
8 59 4547
8 64 4889
8 73 5178
8 91 1813
8 95 1182
8 105 8001
8 111 4035
8 121 5091
8 130 3168
8 146 3533
8 149 8872
8 151 1191
8 156 7693
8 157 7847
8 158 8779
9 15 500
9 17 1423
9 20 3934
9 33 408
9 42 5635
9 45 2743
9 49 5083
9 51 4281
9 58 7130
9 76 5456
9 83 5284
9 101 1333
9 103 3631
9 105 2927
9 120 7641
9 123 7725
9 134 8195
9 137 7805
9 138 8261
10 20 4402
10 22 8531
10 25 1173
10 38 2987
10 43 7787
10 45 8600
10 51 7259
10 73 8663
10 74 1446
10 80 2974
10 87 3429
10 97 2263
10 101 419
10 103 2086
10 108 8224
10 113 550
10 115 140
10 131 1963
10 140 5543
10 142 7135
11 16 7366
11 18 5754
11 23 7862
11 25 3029
11 26 6844
11 27 2769
11 28 3861
11 47 7999
11 49 6589
11 50 409
11 77 1632
11 88 7127
11 103 1721
11 115 1763
11 119 7924
11 137 1873
11 143 8644
11 158 3324
12 15 8567
12 17 6653
12 24 3391
12 25 8656
12 31 8922
12 35 4565
12 49 6837
12 55 5675
12 57 4945
12 65 8114
12 66 3171
12 71 8526
12 74 6760
12 83 1578
12 84 238
12 89 3415
12 91 6187
12 95 4018
12 100 8935
12 105 4459
12 123 490
13 18 8474
13 40 5151
13 43 6475
13 45 8239
13 47 2600
13 58 750
13 71 797
13 78 5867
13 88 3180
13 89 8931
13 101 6737
13 111 5635
13 113 5191
13 116 3673
13 120 6339
13 148 3145
13 153 4562
13 156 1044
14 15 1982
14 23 1589
14 31 8039
14 45 7565
14 54 2517
14 66 179
14 74 6270
14 94 7955
14 96 8401
14 99 1564
14 102 5421
14 106 6586
14 119 5766
14 124 2167
14 127 2511
14 130 8815
14 132 8440
14 149 831
14 155 811
14 156 6748
15 17 1191
15 20 2642
15 29 7095
15 30 8615
15 37 3669
15 46 7065
15 65 2853
15 72 1278
15 75 3912
15 89 569
15 96 4079
15 100 2542
